Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
1,"BART LAMBRIEX, FLORIS VAN DE WERKEN",460,NED,12.0,2.0,1.0,1.0,2.0,11.0,10.0,3.0,2.0,2.0,7.0,1.0,5.0,8.0,(15.0),-,9.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0,85.0
1,ANNE-MARIE RINDOM,319,DEN,(10.0),2.0,(20.0),2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,3.0,7.0,1.0,1.0,2.0,9.0,77.0,47.0
1,"RUGGERO TITA, CATERINA BANTI",4241,,1.0,1.0,1.0,1.0,1.0,1.0,(20.0),1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,46.0,26.0
1,"ODILE VAN AANHOLT, ANNETTE DUETZ",3777,NED,2.0,1.0,1.0,3.0,2.0,5.0,9.0,(29.0),24.0,4.0,2.0,3.0,2.0,1.0,3.0,16.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,113.0,84.0
1,JEAN-BAPTISTE BERNAZ,2157,FRA,(19.0),3.0,2.0,3.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,1.0,4.0,13.0,14.0,(64.0),7.0,-,-,-,-,-,-,134,51.0
2,"VILMA BOBECK, REBECCA NETZLER",5050,SWE,5.0,3.0,2.0,7.0,1.0,3.0,5.0,(31.0),18.0,1.0,13.0,2.0,3.0,8.0,2.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,134.0,103.0
2,"GIANLUIGI UGOLINI, MARIA GIUBILEI",1661,,3.0,3.0,9.0,4.0,2.0,2.0,10.0,5.0,18.0,2.0,5.0,3.0,3.0,9.0,4.0,(29.0),2.0,-,-,-,-,-,-,-,-,-,-,-,-,115.0,86.0
2,"DIEGO BOTIN, FLORIAN TRITTEL PAUL",1123,,6.0,1.0,7.0,3.0,(25.0),9.0,7.0,2.0,3.0,18.0,4.0,6.0,9.0,15.0,1.0,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,132.0,107.0
2,MAUD JAYET,3347,SUI,6.0,7.0,1.0,(44.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,16.0,10.0,2.0,(19.0),7.0,8.0,3.0,130.0,67.0
2,PAVLOS KONTIDES,3933,CYP,(11.0),8.0,6.0,2.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,25.0,(27.0),1.0,5.0,5.0,12.0,-,-,-,-,-,-,106,68.0
3,FILIP JURISIC,1461,CRO,3.0,6.0,(14.0),13.0,9.0,3.0,-,-,-,-,-,-,-,-,-,-,-,3.0,(51.0),33.0,1.0,2.0,2.0,-,-,-,-,-,-,140,75.0
3,"SINEM KURTBAY, AKSELI KESKINEN",4506,,5.0,2.0,3.0,(14.0),7.0,6.0,4.0,10.0,9.0,7.0,2.0,6.0,9.0,3.0,6.0,8.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,115.0,101.0
3,"SIME FANTELA, MIHOVIL FANTELA",4491,,3.0,2.0,1.0,5.0,17.0,7.0,(25.0),12.0,1.0,1.0,5.0,21.0,3.0,1.0,20.0,-,5.0,-,-,-,-,-,-,-,-,-,-,-,-,134.0,109.0
3,EMMA PLASSCHAERT,1301,BEL,1.0,8.0,(11.0),2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,(22.0),6.0,6.0,12.0,14.0,7.0,7.0,102.0,69.0
3,"TAMARA ECHEGOYEN, PAULA BARCELO",4678,ESP,4.0,2.0,3.0,(24.0),4.0,4.0,13.0,16.0,6.0,19.0,16.0,5.0,5.0,7.0,1.0,6.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,151.0,127.0
4,"ISAAC , MCHARDIE, WILLIAM , MCKENZIE",2003,,(22.0),5.0,4.0,22.0,9.0,8.0,3.0,1.0,11.0,6.0,3.0,11.0,7.0,2.0,4.0,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,138.0,116.0
4,"JOHN GIMSON, ANNA BURNET",2277,,4.0,11.0,14.0,6.0,5.0,3.0,(18.0),4.0,8.0,3.0,8.0,2.0,4.0,2.0,3.0,11.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,122.0,104.0
4,JOSEFIN OLSSON,2331,SWE,11.0,(16.0),5.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,(19.0),4.0,10.0,15.0,17.0,1.0,8.0,122.0,87.0
4,THOMAS SAUNDERS,4775,NZL,4.0,10.0,(19.0),12.0,13.0,4.0,-,-,-,-,-,-,-,-,-,-,-,4.0,1.0,12.0,3.0,14.0,(17.0),-,-,-,-,-,-,113,77.0
4,"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",97,POL,17.0,15.0,16.0,26.0,9.0,1.0,2.0,1.0,13.0,6.0,12.0,1.0,(32.0),9.0,4.0,7.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,183.0,151.0
5,"STEPHANIE ROBLE, MAGGIE SHEA",4604,USA,14.0,25.0,24.0,2.0,8.0,(32.0),8.0,9.0,1.0,2.0,11.0,16.0,8.0,2.0,12.0,11.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,187.0,155.0
5,MARIA ERDI,3118,HUN,4.0,1.0,(22.0),5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,14.0,1.0,5.0,17.0,9.0,14.0,(34.0),146.0,90.0
5,"LUKASZ PRZYBYTEK, JACEK PIASECKI",2956,POL,3.0,11.0,15.0,20.0,8.0,(21.0),8.0,7.0,5.0,20.0,2.0,5.0,2.0,4.0,3.0,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,138.0,117.0
5,"JASON WATERHOUSE, LISA DARMANIN",2150,,9.0,5.0,5.0,3.0,14.0,5.0,5.0,(21.0),5.0,6.0,3.0,14.0,7.0,10.0,17.0,10.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,157.0,136.0
5,TONCI STIPANOVIC,4903,CRO,5.0,3.0,3.0,8.0,8.0,(29.0),-,-,-,-,-,-,-,-,-,-,-,13.0,9.0,(34.0),2.0,17.0,13.0,-,-,-,-,-,-,144,81.0
6,MAXIME JONKER,3375,NED,9.0,2.0,(44.0),4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,3.0,19.0,1.0,8.0,(25.0),22.0,2.0,160.0,91.0
6,"VITTORIO BISSARO, MAELLE FRASCARI",5061,,8.0,7.0,7.0,16.0,3.0,4.0,(26.0),11.0,7.0,8.0,17.0,5.0,2.0,4.0,1.0,22.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,168.0,142.0
6,"PATRICIA SUAREZ, MARIA CANTERO IZQUIERDO",3892,,3.0,5.0,6.0,5.0,11.0,8.0,23.0,18.0,16.0,11.0,9.0,(32.0),7.0,14.0,6.0,9.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,193.0,161.0
6,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,6.0,3.0,3.0,10.0,6.0,10.0,15.0,15.0,15.0,14.0,14.0,(18.0),4.0,3.0,2.0,-,3.0,-,-,-,-,-,-,-,-,-,-,-,-,144.0,126.0
6,FINN LYNCH,1474,IRL,10.0,2.0,4.0,13.0,10.0,(64.0),-,-,-,-,-,-,-,-,-,-,-,7.0,2.0,(24.0),8.0,21.0,8.0,-,-,-,-,-,-,173,85.0
7,ELLIOT HANSON,1263,GBR,6.0,(26.0),4.0,1.0,1.0,3.0,-,-,-,-,-,-,-,-,-,-,-,18.0,18.0,15.0,13.0,9.0,(64.0),-,-,-,-,-,-,178,88.0
7,AGATA BARWINSKA,29,POL,10.0,9.0,(16.0),11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,1.0,13.0,(35.0),5.0,6.0,25.0,10.0,146.0,95.0
7,"MARTINE GRAEL, KAHENA KUNZE",3243,BRA,6.0,17.0,4.0,9.0,13.0,14.0,7.0,14.0,14.0,17.0,3.0,(20.0),11.0,15.0,7.0,5.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,184.0,164.0
7,"LOGAN DUNNING BECK, OSCAR GUNN",2860,,9.0,7.0,9.0,6.0,6.0,1.0,16.0,1.0,6.0,12.0,8.0,14.0,(22.0),10.0,9.0,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,148.0,126.0
7,"EMIL JARUDD, HANNA JONSSON",1280,,2.0,4.0,6.0,17.0,13.0,8.0,15.0,8.0,10.0,4.0,4.0,7.0,14.0,8.0,(19.0),18.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,165.0,146.0
8,WIKTORIA GOLEBIOWSKA,5124,POL,4.0,9.0,(26.0),1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,2.0,14.0,3.0,(43.0),27.0,16.0,12.0,165.0,96.0
8,"LAILA VAN DER MEER, BJARNE BOUWER",2665,,10.0,10.0,4.0,13.0,11.0,10.0,(28.0),14.0,6.0,10.0,6.0,13.0,10.0,5.0,13.0,6.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,175.0,147.0
8,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,14.0,9.0,2.0,2.0,11.0,12.0,2.0,13.0,(21.0),16.0,1.0,10.0,12.0,13.0,6.0,-,4.0,-,-,-,-,-,-,-,-,-,-,-,-,152.0,131.0
8,"ALEXANDRA MALONEY, OLIVIA HOBBS",131,,10.0,(26.0),13.0,4.0,7.0,9.0,6.0,8.0,7.0,9.0,17.0,17.0,9.0,16.0,14.0,25.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,201.0,175.0
8,PHILIPP BUHL,3995,GER,6.0,(19.0),14.0,1.0,5.0,5.0,-,-,-,-,-,-,-,-,-,-,-,(46.0),17.0,19.0,18.0,8.0,6.0,-,-,-,-,-,-,164,99.0
9,"FREYA BLACK, SASKIA TIDEY",1569,GBR,20.0,13.0,11.0,1.0,20.0,6.0,10.0,3.0,5.0,10.0,1.0,9.0,23.0,(32.0),9.0,21.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,208.0,176.0
9,MARIT BOUWMEESTER,3179,NED,2.0,4.0,(7.0),7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(33.0),18.0,2.0,17.0,11.0,5.0,20.0,11.0,137.0,97.0
9,"ZAIDING WEN, TIAN LIU",5258,,7.0,8.0,(21.0),6.0,10.0,5.0,8.0,7.0,16.0,13.0,20.0,2.0,10.0,12.0,16.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,163.0,142.0
9,JONATAN VADNAI,2298,HUN,2.0,2.0,(11.0),7.0,1.0,6.0,-,-,-,-,-,-,-,-,-,-,-,14.0,24.0,(35.0),11.0,24.0,10.0,-,-,-,-,-,-,147,101.0
9,"MICAH WILKINSON, ERICA DAWSON",3440,,7.0,8.0,2.0,9.0,8.0,11.0,2.0,3.0,17.0,5.0,16.0,8.0,18.0,12.0,22.0,(24.0),1.0,-,-,-,-,-,-,-,-,-,-,-,-,174.0,150.0
10,ERIKA REINEKE,1342,USA,3.0,6.0,(10.0),4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,21.0,16.0,9.0,4.0,26.0,4.0,(44.0),151.0,97.0
10,"ISAURA MAENHAUT, ANOUK GEURTS",2021,BEL,7.0,19.0,5.0,12.0,16.0,16.0,15.0,(25.0),8.0,16.0,15.0,13.0,4.0,11.0,18.0,3.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,221.0,196.0
10,"MATEO MAJDALANI, EUGENIA BOSCO",3269,,20.0,9.0,11.0,7.0,4.0,(25.0),3.0,6.0,25.0,15.0,11.0,11.0,6.0,6.0,12.0,5.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,188.0,163.0
10,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,9.0,7.0,(25.0),7.0,5.0,3.0,13.0,14.0,9.0,7.0,6.0,22.0,15.0,22.0,5.0,-,7.0,-,-,-,-,-,-,-,-,-,-,-,-,183.0,158.0
10,STEFANO PESCHIERA,4591,PER,16.0,4.0,(19.0),4.0,15.0,13.0,-,-,-,-,-,-,-,-,-,-,-,5.0,(49.0),2.0,17.0,20.0,9.0,-,-,-,-,-,-,173,105.0
11,MONIKA MIKKOLA,3546,FIN,14.0,15.0,7.0,(44.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,5.0,9.0,15.0,(20.0),19.0,9.0,6.0,164.0,100.0
11,"IAN BARROWS, HANS HENKEN",1956,USA,5.0,14.0,5.0,(18.0),14.0,9.0,7.0,9.0,8.0,8.0,18.0,16.0,17.0,5.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163.0,145.0
11,"BILLY BESSON, NOA ANCIAN",575,,16.0,13.0,12.0,19.0,18.0,13.0,7.0,17.0,14.0,(21.0),7.0,12.0,12.0,17.0,5.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,210.0,189.0
11,SAM WHALEY,4294,GBR,7.0,17.0,(24.0),10.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,10.0,13.0,(32.0),12.0,23.0,19.0,-,-,-,-,-,-,171,115.0
11,"JO ALEH, MOLLY MEECH",2227,NZL,9.0,20.0,8.0,8.0,3.0,10.0,26.0,(32.0),4.0,5.0,18.0,10.0,22.0,4.0,16.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,215.0,183.0
12,UBERTO CRIVELLI VISCONTIN/A,4932,,13.0,23.0,4.0,1.0,(28.0),2.0,12.0,6.0,19.0,3.0,13.0,8.0,19.0,16.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179.0,151.0
12,LOUISE CERVERA,2886,FRA,(13.0),3.0,4.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,25.0,31.0,14.0,(39.0),10.0,5.0,15.0,165.0,113.0
12,"TIM MOURNIAC, LOU BERTHOMIEU",4811,,12.0,16.0,8.0,5.0,(35.0),7.0,8.0,16.0,30.0,16.0,12.0,18.0,8.0,15.0,18.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,233.0,198.0
12,"JANA GERMANI, GIORGIA BERTUZZI",2125,ITA,22.0,11.0,9.0,17.0,14.0,11.0,3.0,21.0,12.0,13.0,4.0,6.0,(28.0),10.0,24.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,220.0,192.0
12,DANIEL WHITELEY,1034,GBR,8.0,(27.0),1.0,2.0,4.0,4.0,-,-,-,-,-,-,-,-,-,-,-,20.0,15.0,38.0,(42.0),27.0,5.0,-,-,-,-,-,-,193,124.0
13,"MAX STINGELE, LINOV SCHEEL",3368,GER,7.0,5.0,13.0,4.0,(21.0),5.0,21.0,8.0,14.0,17.0,19.0,3.0,18.0,7.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173.0,152.0
13,"IDA SVENSSON, MARCUS DACKHAMMAR",1966,,14.0,31.0,(35.0),2.0,6.0,15.0,17.0,18.0,2.0,13.0,10.0,27.0,35.0,7.0,7.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,241.0,206.0
13,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,16.0,8.0,20.0,23.0,(26.0),24.0,11.0,11.0,2.0,15.0,8.0,26.0,15.0,21.0,13.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,240.0,214.0
13,FINN ALEXANDER,1469,AUS,(30.0),23.0,20.0,6.0,9.0,7.0,-,-,-,-,-,-,-,-,-,-,-,15.0,3.0,(45.0),7.0,31.0,4.0,-,-,-,-,-,-,200,125.0
13,MARA STRANSKY,3070,AUS,8.0,10.0,(20.0),12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,7.0,23.0,21.0,28.0,2.0,3.0,(32.0),175.0,123.0
14,ALESSIO SPADONI,106,ITA,12.0,9.0,(29.0),6.0,7.0,21.0,-,-,-,-,-,-,-,-,-,-,-,(51.0),23.0,14.0,19.0,1.0,15.0,-,-,-,-,-,-,207,127.0
14,"ERWAN FISCHER, CLEMENT PEQUIN",1351,FRA,1.0,18.0,7.0,8.0,4.0,8.0,10.0,19.0,12.0,5.0,16.0,20.0,14.0,(23.0),15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180.0,157.0
14,"GEORGIA LEWI, N-LAFRANCE, ANTONIA LEWIN-LAFRANCE",1639,,26.0,6.0,21.0,(28.0),15.1,23.0,21.0,6.0,10.0,14.0,26.0,7.0,6.0,13.0,5.0,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,249.1,221.1
14,CHARLOTTE ROSE,828,USA,(19.0),1.0,6.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,(42.0),8.0,13.0,3.0,4.0,32.0,27.0,186.0,125.0
14,"NATACHA VIOLET SAOUM, A-PEDERSEN, MATHIAS BRUUN BORRESKOV",3609,,13.0,12.0,16.0,(24.0),9.0,20.0,22.0,9.0,3.0,14.0,19.0,10.0,11.0,14.0,21.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,234.0,210.0
15,"FREDERIK RASK, JAKOB PRECHT JENSEN",1559,DEN,10.0,17.0,12.0,9.0,13.0,15.0,3.0,15.0,7.0,9.0,9.0,7.0,11.0,20.0,(23.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,180.0,157.0
15,CLEMENTE SEGUEL LACAMARA,922,CHI,19.0,(32.0),8.0,16.0,16.0,7.0,-,-,-,-,-,-,-,-,-,-,-,16.0,11.0,10.0,21.0,3.0,(24.0),-,-,-,-,-,-,183,127.0
15,"INGA-MARIE HOFMANN, CATHERINE BARTELHEIMER",1991,GER,12.0,4.0,(30.0),21.0,17.0,2.0,22.0,12.0,3.0,27.0,19.0,18.0,16.0,12.0,10.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-,255.0,225.0
15,"LAURA FARESE, MATTHAUS ZOCHLING",2699,,11.0,6.0,21.0,21.0,16.0,19.0,19.0,23.0,(27.0),12.0,13.0,4.0,15.0,21.0,10.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,241.0,214.0
15,SARAH DOUGLAS,4346,CAN,2.0,4.0,8.0,(17.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,4.0,(30.0),26.0,9.0,21.0,12.0,26.0,175.0,128.0
16,"SARAH NEWBERRY, DAVID LIEBENBERG",4352,,(35.0),20.0,15.0,12.0,15.0,16.0,1.0,2.0,19.0,20.0,14.0,9.0,17.0,16.0,15.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,251.0,216.0
16,"LUCAS RUAL, EMILE AMOROS",2911,FRA,15.0,3.0,11.0,7.0,1.0,2.0,(26.0),20.0,13.0,4.0,12.0,15.0,23.0,11.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184.0,158.0
16,"LAURA HARDING, ANNIE WILMOT",2700,AUS,21.0,10.0,10.0,11.0,6.0,25.0,(31.0),17.0,21.0,28.0,10.0,29.0,12.0,6.0,23.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,262.0,231.0
16,MARIE BARRUE,3140,FRA,(18.0),16.0,4.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,8.0,18.0,27.0,(33.0),29.0,10.0,4.0,187.0,136.0
16,EDUARDO MARQUES,1204,POR,14.0,7.0,7.0,(30.0),11.0,1.0,-,-,-,-,-,-,-,-,-,-,-,17.0,10.0,17.0,(40.0),18.0,28.0,-,-,-,-,-,-,200,130.0
17,MIRTHE AKKERMAN,3514,NED,6.0,5.0,8.0,(9.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,20.0,24.0,8.0,21.0,24.0,(33.0),13.0,183.0,141.0
17,"XIAOYU HU, XUEBIN YU",5186,,8.0,22.0,(35.0),6.0,23.0,21.0,1.0,2.0,27.0,3.0,22.0,4.0,24.0,20.0,20.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,267.0,232.0
17,JOAQUIN BLANCO ALBALAT,2249,ESP,(40.0),1.0,5.0,5.0,11.0,21.0,-,-,-,-,-,-,-,-,-,-,-,35.0,(42.0),21.0,9.0,4.0,21.0,-,-,-,-,-,-,215,133.0
17,"SAMUEL ALBRECHT, GABRIELA NICOLINO DE SA",4301,,15.0,17.0,18.0,20.0,12.0,23.0,11.0,7.0,4.0,26.0,22.0,20.0,5.0,(35.0),11.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,258.0,223.0
