Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,PACHECO van RIJNSOEVER/BARRIO GARCIA,,Nacra 17,12,G,11,,131,108,World Championship 2023,Race 15 Gold,0
,,TITA/BANTI,,Nacra 17,3,G,1,,43,31,World Championship 2023,Race 15 Gold,0
,,GIMSON/BURNET,,Nacra 17,4,G,2,,77,57,World Championship 2023,Race 15 Gold,0
,,YANG/HU,,Nacra 17,15,G,22,,220,194,World Championship 2023,Race 15 Gold,0
,,BOOTH/BOOTH FERRANDO,,Nacra 17,17,G,20,,211,185,World Championship 2023,Race 15 Gold,0
,,HABERL/FRANK,,Nacra 17,14,G,14,,158,134,World Championship 2023,Race 15 Gold,0
,,LIDDELL/COPELAND,,Nacra 17,16,G,25,,238,212,World Championship 2023,Race 15 Gold,0
,,KOHLHOFF/STUHLEMMER,,Nacra 17,10,G,7,,102,85,World Championship 2023,Race 15 Gold,0
,,WILKINSON/DAWSON,,Nacra 17,2,G,8,,119,93,World Championship 2023,Race 15 Gold,0
,,MAJDALANI/BOSCO,,Nacra 17,8,G,9,,112,93,World Championship 2023,Race 15 Gold,0
,,LANGE/TRAVASCIO,,Nacra 17,18,G,17,,184,158,World Championship 2023,Race 15 Gold,0
,,MAI/CHEN,,Nacra 17,17,G,21,,215,189,World Championship 2023,Race 15 Gold,0
,,BISSARO/FRASCARI,,Nacra 17,1,G,5,,102,76,World Championship 2023,Race 15 Gold,0
,,UGOLINI/GIUBILEI,,Nacra 17,5,G,6,,92,81,World Championship 2023,Race 15 Gold,0
,,KURTBAY/KESKINEN,,Nacra 17,9,G,10,,116,99,World Championship 2023,Race 15 Gold,0
,,FARESE/ZOCHLING,,Nacra 17,13,G,12,,146,130,World Championship 2023,Race 15 Gold,0
,,SAOUMA-PEDERSEN/BORRESKOV,,Nacra 17,11,G,13,,156,132,World Championship 2023,Race 15 Gold,0
,,JARUDD/JONSSON,,Nacra 17,7,G,3,,83,66,World Championship 2023,Race 15 Gold,0
,,GARGETT/HOFFMAN,,Nacra 17,21,G,24,,224,201,World Championship 2023,Race 15 Gold,0
,,BESSON/ANCIAN,,Nacra 17,20,G,15,,162,142,World Championship 2023,Race 15 Gold,0
,,van der MEER/BOUWER,,Nacra 17,6,G,4,,97,71,World Championship 2023,Race 15 Gold,0
,,PORRO/DEZULIAN,,Nacra 17,26,G,23,,222,196,World Championship 2023,Race 15 Gold,0
,,LIDDELL/BROWN,,Nacra 17,26,G,19,,202,176,World Championship 2023,Race 15 Gold,1
,,NEWBERRY MOORE/LIEBENBERG,,Nacra 17,19,G,18,,178,159,World Championship 2023,Race 15 Gold,0
,,SVENSSON/DACKHAMMAR,,Nacra 17,26,G,16,,168,142,World Championship 2023,Race 15 Gold,1
,,DING/SHA,,Nacra 17,2,G,28,,161,135,World Championship 2023,Race 13 Silver,0
,,van der VEEN/van ROOIJEN,,Nacra 17,16,G,39,,268,245,World Championship 2023,Race 13 Silver,0
,,BUNDOCK/DARMANIN,,Nacra 17,12,G,27,,151,134,World Championship 2023,Race 13 Silver,0
,,OFFERMAN/HOUTMAN,,Nacra 17,9,G,33,,193,173,World Championship 2023,Race 13 Silver,0
,,WILLIAMS/WILLIAMS,,Nacra 17,14,G,41,,280,257,World Championship 2023,Race 13 Silver,0
,,ASCHIERI/CAMUSSO,,Nacra 17,25,G,45,,301,275,World Championship 2023,Race 13 Silver,0
,,GESLIN GRIMAUD/DECLEF,,Nacra 17,15,G,40,,282,256,World Championship 2023,Race 13 Silver,0
,,SIEMSEN/ARNDT,,Nacra 17,4,G,31,,173,156,World Championship 2023,Race 13 Silver,0
,,PASCHALIDIS/PAPADOPOULOU,,Nacra 17,8,G,35,,210,184,World Championship 2023,Race 13 Silver,0
,,MATTEO/RIGAUD,,Nacra 17,18,G,44,,299,274,World Championship 2023,Race 13 Silver,0
,,CRAIN/GIMPLE,,Nacra 17,17,G,42,,284,260,World Championship 2023,Race 13 Silver,0
,,de JONGHE/RAVELINGIEN,,Nacra 17,25,G,47,,319,294,World Championship 2023,Race 13 Silver,1
,,BILLY/CHAUVIN,,Nacra 17,10,G,30,,162,145,World Championship 2023,Race 13 Silver,0
,,CLAEYSSENS/VANROOSE,,Nacra 17,19,G,37,,229,205,World Championship 2023,Race 13 Silver,0
,,ZHAO/WANG,,Nacra 17,5,G,26,,147,128,World Championship 2023,Race 13 Silver,0
,,SIDDHESHWAR/SARAVANAN,,Nacra 17,22,G,43,,293,268,World Championship 2023,Race 13 Silver,0
,,KOOIJMAN/SPIJKERVET,,Nacra 17,6,G,38,,268,242,World Championship 2023,Race 13 Silver,0
,,GRANDJEAN/FEHLMANN,,Nacra 17,20,G,49,,343,317,World Championship 2023,Race 13 Silver,0
,,ALBRECHT/NICOLINO,,Nacra 17,1,G,29,,170,144,World Championship 2023,Race 13 Silver,0
,,MARTINEAU/BENHAYOUN,,Nacra 17,21,G,46,,318,292,World Championship 2023,Race 13 Silver,0
,,WATANABE/UEDA,,Nacra 17,13,G,48,,328,302,World Championship 2023,Race 13 Silver,0
,,IITUKA/NISHIDA,,Nacra 17,11,G,32,,192,173,World Championship 2023,Race 13 Silver,0
,,LIU/LIM,,Nacra 17,7,G,36,,224,198,World Championship 2023,Race 13 Silver,0
,,KAYNAR/KAYNAKCI,,Nacra 17,3,G,34,,201,176,World Championship 2023,Race 13 Silver,0
,,WILKINSON/DAWSON,,Nacra 17,3,G,8,,119,93,World Championship 2023,Race 7 Yellow,0
,,BOOTH/BOOTH FERRANDO,,Nacra 17,12,G,20,,211,185,World Championship 2023,Race 7 Yellow,0
,,SAOUMA-PEDERSEN/BORRESKOV,,Nacra 17,5,G,13,,156,132,World Championship 2023,Race 7 Yellow,0
,,PASCHALIDIS/PAPADOPOULOU,,Nacra 17,17,G,35,,210,184,World Championship 2023,Race 7 Yellow,0
,,WATANABE/UEDA,,Nacra 17,19,G,48,,328,302,World Championship 2023,Race 7 Yellow,0
,,BUNDOCK/DARMANIN,,Nacra 17,11,G,27,,151,134,World Championship 2023,Race 7 Yellow,0
,,GRANDJEAN/FEHLMANN,,Nacra 17,25,G,49,,343,317,World Championship 2023,Race 7 Yellow,0
,,TITA/BANTI,,Nacra 17,1,G,1,,43,31,World Championship 2023,Race 7 Yellow,0
,,SIEMSEN/ARNDT,,Nacra 17,13,G,31,,173,156,World Championship 2023,Race 7 Yellow,0
,,LANGE/TRAVASCIO,,Nacra 17,14,G,17,,184,158,World Championship 2023,Race 7 Yellow,0
,,BILLY/CHAUVIN,,Nacra 17,15,G,30,,162,145,World Championship 2023,Race 7 Yellow,0
,,van der MEER/BOUWER,,Nacra 17,7,G,4,,97,71,World Championship 2023,Race 7 Yellow,0
,,PORRO/DEZULIAN,,Nacra 17,2,G,23,,222,196,World Championship 2023,Race 7 Yellow,0
,,GESLIN GRIMAUD/DECLEF,,Nacra 17,22,G,40,,282,256,World Championship 2023,Race 7 Yellow,0
,,UGOLINI/GIUBILEI,,Nacra 17,6,G,6,,92,81,World Championship 2023,Race 7 Yellow,0
,,KAYNAR/KAYNAKCI,,Nacra 17,18,G,34,,201,176,World Championship 2023,Race 7 Yellow,0
,,NEWBERRY MOORE/LIEBENBERG,,Nacra 17,8,G,18,,178,159,World Championship 2023,Race 7 Yellow,0
,,KURTBAY/KESKINEN,,Nacra 17,4,G,10,,116,99,World Championship 2023,Race 7 Yellow,0
,,GARGETT/HOFFMAN,,Nacra 17,16,G,24,,224,201,World Championship 2023,Race 7 Yellow,0
,,LIU/LIM,,Nacra 17,21,G,36,,224,198,World Championship 2023,Race 7 Yellow,0
,,WILLIAMS/WILLIAMS,,Nacra 17,23,G,41,,280,257,World Championship 2023,Race 7 Yellow,0
,,BESSON/ANCIAN,,Nacra 17,9,G,15,,162,142,World Championship 2023,Race 7 Yellow,0
,,CRAIN/GIMPLE,,Nacra 17,24,G,42,,284,260,World Championship 2023,Race 7 Yellow,1
,,SIDDHESHWAR/SARAVANAN,,Nacra 17,20,G,43,,293,268,World Championship 2023,Race 7 Yellow,0
,,FARESE/ZOCHLING,,Nacra 17,10,G,12,,146,130,World Championship 2023,Race 7 Yellow,0
,,GIMSON/BURNET,,Nacra 17,6,G,2,,77,57,World Championship 2023,Race 14 Gold,0
,,SAOUMA-PEDERSEN/BORRESKOV,,Nacra 17,14,G,13,,156,132,World Championship 2023,Race 14 Gold,0
,,WILKINSON/DAWSON,,Nacra 17,10,G,8,,119,93,World Championship 2023,Race 14 Gold,0
,,JARUDD/JONSSON,,Nacra 17,5,G,3,,83,66,World Championship 2023,Race 14 Gold,0
,,LANGE/TRAVASCIO,,Nacra 17,18,G,17,,184,158,World Championship 2023,Race 14 Gold,0
,,GARGETT/HOFFMAN,,Nacra 17,23,G,24,,224,201,World Championship 2023,Race 14 Gold,1
,,LIDDELL/COPELAND,,Nacra 17,26,G,25,,238,212,World Championship 2023,Race 14 Gold,0
,,NEWBERRY MOORE/LIEBENBERG,,Nacra 17,19,G,18,,178,159,World Championship 2023,Race 14 Gold,1
,,FARESE/ZOCHLING,,Nacra 17,13,G,12,,146,130,World Championship 2023,Race 14 Gold,0
,,KURTBAY/KESKINEN,,Nacra 17,2,G,10,,116,99,World Championship 2023,Race 14 Gold,0
,,SVENSSON/DACKHAMMAR,,Nacra 17,12,G,16,,168,142,World Championship 2023,Race 14 Gold,0
,,HABERL/FRANK,,Nacra 17,16,G,14,,158,134,World Championship 2023,Race 14 Gold,0
,,BESSON/ANCIAN,,Nacra 17,20,G,15,,162,142,World Championship 2023,Race 14 Gold,1
,,TITA/BANTI,,Nacra 17,1,G,1,,43,31,World Championship 2023,Race 14 Gold,0
,,van der MEER/BOUWER,,Nacra 17,3,G,4,,97,71,World Championship 2023,Race 14 Gold,0
,,MAJDALANI/BOSCO,,Nacra 17,9,G,9,,112,93,World Championship 2023,Race 14 Gold,0
,,MAI/CHEN,,Nacra 17,22,G,21,,215,189,World Championship 2023,Race 14 Gold,0
,,LIDDELL/BROWN,,Nacra 17,21,G,19,,202,176,World Championship 2023,Race 14 Gold,0
,,PORRO/DEZULIAN,,Nacra 17,24,G,23,,222,196,World Championship 2023,Race 14 Gold,0
,,KOHLHOFF/STUHLEMMER,,Nacra 17,8,G,7,,102,85,World Championship 2023,Race 14 Gold,0
,,PACHECO van RIJNSOEVER/BARRIO GARCIA,,Nacra 17,15,G,11,,131,108,World Championship 2023,Race 14 Gold,0
,,BOOTH/BOOTH FERRANDO,,Nacra 17,11,G,20,,211,185,World Championship 2023,Race 14 Gold,0
,,YANG/HU,,Nacra 17,17,G,22,,220,194,World Championship 2023,Race 14 Gold,0
,,BISSARO/FRASCARI,,Nacra 17,4,G,5,,102,76,World Championship 2023,Race 14 Gold,0
,,UGOLINI/GIUBILEI,,Nacra 17,7,G,6,,92,81,World Championship 2023,Race 14 Gold,0
,,CLAEYSSENS/VANROOSE,,Nacra 17,13,G,37,,229,205,World Championship 2023,Race 7 Blue,0
,,MATTEO/RIGAUD,,Nacra 17,22,G,44,,299,274,World Championship 2023,Race 7 Blue,0
,,MAI/CHEN,,Nacra 17,9,G,21,,215,189,World Championship 2023,Race 7 Blue,0
,,PACHECO van RIJNSOEVER/BARRIO GARCIA,,Nacra 17,4,G,11,,131,108,World Championship 2023,Race 7 Blue,0
,,MARTINEAU/BENHAYOUN,,Nacra 17,19,G,46,,318,292,World Championship 2023,Race 7 Blue,0
,,KOOIJMAN/SPIJKERVET,,Nacra 17,18,G,38,,268,242,World Championship 2023,Race 7 Blue,0
,,JARUDD/JONSSON,,Nacra 17,6,G,3,,83,66,World Championship 2023,Race 7 Blue,0
,,ZHAO/WANG,,Nacra 17,16,G,26,,147,128,World Championship 2023,Race 7 Blue,0
,,IITUKA/NISHIDA,,Nacra 17,17,G,32,,192,173,World Championship 2023,Race 7 Blue,0
,,MAJDALANI/BOSCO,,Nacra 17,1,G,9,,112,93,World Championship 2023,Race 7 Blue,0
,,GIMSON/BURNET,,Nacra 17,3,G,2,,77,57,World Championship 2023,Race 7 Blue,0
,,ASCHIERI/CAMUSSO,,Nacra 17,20,G,45,,301,275,World Championship 2023,Race 7 Blue,0
,,LIDDELL/COPELAND,,Nacra 17,12,G,25,,238,212,World Championship 2023,Race 7 Blue,0
,,van der VEEN/van ROOIJEN,,Nacra 17,15,G,39,,268,245,World Championship 2023,Race 7 Blue,0
,,OFFERMAN/HOUTMAN,,Nacra 17,10,G,33,,193,173,World Championship 2023,Race 7 Blue,0
,,YANG/HU,,Nacra 17,26,G,22,,220,194,World Championship 2023,Race 7 Blue,1
,,DING/SHA,,Nacra 17,11,G,28,,161,135,World Championship 2023,Race 7 Blue,0
,,SVENSSON/DACKHAMMAR,,Nacra 17,5,G,16,,168,142,World Championship 2023,Race 7 Blue,0
,,ALBRECHT/NICOLINO,,Nacra 17,21,G,29,,170,144,World Championship 2023,Race 7 Blue,0
,,BISSARO/FRASCARI,,Nacra 17,7,G,5,,102,76,World Championship 2023,Race 7 Blue,0
,,LIDDELL/BROWN,,Nacra 17,14,G,19,,202,176,World Championship 2023,Race 7 Blue,0
,,KOHLHOFF/STUHLEMMER,,Nacra 17,2,G,7,,102,85,World Championship 2023,Race 7 Blue,0
,,HABERL/FRANK,,Nacra 17,8,G,14,,158,134,World Championship 2023,Race 7 Blue,0
,,de JONGHE/RAVELINGIEN,,Nacra 17,23,G,47,,319,294,World Championship 2023,Race 7 Blue,0
,,ZHAO/WANG,,Nacra 17,11,G,26,,147,128,World Championship 2023,Race 9 Blue,0
,,HABERL/FRANK,,Nacra 17,3,G,14,,158,134,World Championship 2023,Race 9 Blue,0
,,van der VEEN/van ROOIJEN,,Nacra 17,21,G,39,,268,245,World Championship 2023,Race 9 Blue,0
,,OFFERMAN/HOUTMAN,,Nacra 17,14,G,33,,193,173,World Championship 2023,Race 9 Blue,0
,,DING/SHA,,Nacra 17,12,G,28,,161,135,World Championship 2023,Race 9 Blue,0
,,KOHLHOFF/STUHLEMMER,,Nacra 17,1,G,7,,102,85,World Championship 2023,Race 9 Blue,0
,,ASCHIERI/CAMUSSO,,Nacra 17,22,G,45,,301,275,World Championship 2023,Race 9 Blue,0
,,PACHECO van RIJNSOEVER/BARRIO GARCIA,,Nacra 17,2,G,11,,131,108,World Championship 2023,Race 9 Blue,0
,,BISSARO/FRASCARI,,Nacra 17,6,G,5,,102,76,World Championship 2023,Race 9 Blue,0
,,JARUDD/JONSSON,,Nacra 17,17,G,3,,83,66,World Championship 2023,Race 9 Blue,1
,,SVENSSON/DACKHAMMAR,,Nacra 17,10,G,16,,168,142,World Championship 2023,Race 9 Blue,0
,,GIMSON/BURNET,,Nacra 17,5,G,2,,77,57,World Championship 2023,Race 9 Blue,0
,,MAI/CHEN,,Nacra 17,15,G,21,,215,189,World Championship 2023,Race 9 Blue,0
,,LIDDELL/BROWN,,Nacra 17,8,G,19,,202,176,World Championship 2023,Race 9 Blue,0
,,MARTINEAU/BENHAYOUN,,Nacra 17,26,G,46,,318,292,World Championship 2023,Race 9 Blue,1
,,KOOIJMAN/SPIJKERVET,,Nacra 17,23,G,38,,268,242,World Championship 2023,Race 9 Blue,0
,,MATTEO/RIGAUD,,Nacra 17,19,G,44,,299,274,World Championship 2023,Race 9 Blue,0
,,YANG/HU,,Nacra 17,9,G,22,,220,194,World Championship 2023,Race 9 Blue,0
,,de JONGHE/RAVELINGIEN,,Nacra 17,20,G,47,,319,294,World Championship 2023,Race 9 Blue,0
,,CLAEYSSENS/VANROOSE,,Nacra 17,16,G,37,,229,205,World Championship 2023,Race 9 Blue,0
,,MAJDALANI/BOSCO,,Nacra 17,4,G,9,,112,93,World Championship 2023,Race 9 Blue,0
,,LIDDELL/COPELAND,,Nacra 17,7,G,25,,238,212,World Championship 2023,Race 9 Blue,0
,,IITUKA/NISHIDA,,Nacra 17,18,G,32,,192,173,World Championship 2023,Race 9 Blue,0
,,ALBRECHT/NICOLINO,,Nacra 17,13,G,29,,170,144,World Championship 2023,Race 9 Blue,0
,,CLAEYSSENS/VANROOSE,,Nacra 17,18,G,37,,229,205,World Championship 2023,Race 5 Blue,0
,,BUNDOCK/DARMANIN,,Nacra 17,15,G,27,,151,134,World Championship 2023,Race 5 Blue,0
,,van der VEEN/van ROOIJEN,,Nacra 17,17,G,39,,268,245,World Championship 2023,Race 5 Blue,0
,,LIDDELL/COPELAND,,Nacra 17,9,G,25,,238,212,World Championship 2023,Race 5 Blue,0
,,HABERL/FRANK,,Nacra 17,10,G,14,,158,134,World Championship 2023,Race 5 Blue,0
,,UGOLINI/GIUBILEI,,Nacra 17,4,G,6,,92,81,World Championship 2023,Race 5 Blue,0
,,FARESE/ZOCHLING,,Nacra 17,7,G,12,,146,130,World Championship 2023,Race 5 Blue,0
,,BESSON/ANCIAN,,Nacra 17,13,G,15,,162,142,World Championship 2023,Race 5 Blue,0
,,OFFERMAN/HOUTMAN,,Nacra 17,14,G,33,,193,173,World Championship 2023,Race 5 Blue,0
,,KURTBAY/KESKINEN,,Nacra 17,2,G,10,,116,99,World Championship 2023,Race 5 Blue,0
,,BISSARO/FRASCARI,,Nacra 17,26,G,5,,102,76,World Championship 2023,Race 5 Blue,1
,,KOHLHOFF/STUHLEMMER,,Nacra 17,1,G,7,,102,85,World Championship 2023,Race 5 Blue,0
,,SIDDHESHWAR/SARAVANAN,,Nacra 17,19,G,43,,293,268,World Championship 2023,Race 5 Blue,0
,,SAOUMA-PEDERSEN/BORRESKOV,,Nacra 17,5,G,13,,156,132,World Championship 2023,Race 5 Blue,0
,,SVENSSON/DACKHAMMAR,,Nacra 17,6,G,16,,168,142,World Championship 2023,Race 5 Blue,0
,,PASCHALIDIS/PAPADOPOULOU,,Nacra 17,26,G,35,,210,184,World Championship 2023,Race 5 Blue,1
,,MARTINEAU/BENHAYOUN,,Nacra 17,22,G,46,,318,292,World Championship 2023,Race 5 Blue,0
,,ZHAO/WANG,,Nacra 17,12,G,26,,147,128,World Championship 2023,Race 5 Blue,0
,,GIMSON/BURNET,,Nacra 17,3,G,2,,77,57,World Championship 2023,Race 5 Blue,0
,,IITUKA/NISHIDA,,Nacra 17,16,G,32,,192,173,World Championship 2023,Race 5 Blue,0
,,WILLIAMS/WILLIAMS,,Nacra 17,20,G,41,,280,257,World Championship 2023,Race 5 Blue,0
,,de JONGHE/RAVELINGIEN,,Nacra 17,21,G,47,,319,294,World Championship 2023,Race 5 Blue,0
,,DING/SHA,,Nacra 17,11,G,28,,161,135,World Championship 2023,Race 5 Blue,0
,,LANGE/TRAVASCIO,,Nacra 17,8,G,17,,184,158,World Championship 2023,Race 5 Blue,0
,,KOHLHOFF/STUHLEMMER,,Nacra 17,17,G,7,,102,85,World Championship 2023,Race 11 Gold,1
,,FARESE/ZOCHLING,,Nacra 17,16,G,12,,146,130,World Championship 2023,Race 11 Gold,1
,,LANGE/TRAVASCIO,,Nacra 17,3,G,17,,184,158,World Championship 2023,Race 11 Gold,0
,,HABERL/FRANK,,Nacra 17,4,G,14,,158,134,World Championship 2023,Race 11 Gold,0
,,BESSON/ANCIAN,,Nacra 17,9,G,15,,162,142,World Championship 2023,Race 11 Gold,0
,,LIDDELL/BROWN,,Nacra 17,2,G,19,,202,176,World Championship 2023,Race 11 Gold,0
,,MAJDALANI/BOSCO,,Nacra 17,19,G,9,,112,93,World Championship 2023,Race 11 Gold,1
,,BISSARO/FRASCARI,,Nacra 17,5,G,5,,102,76,World Championship 2023,Race 11 Gold,0
,,PORRO/DEZULIAN,,Nacra 17,18,G,23,,222,196,World Championship 2023,Race 11 Gold,0
,,PACHECO van RIJNSOEVER/BARRIO GARCIA,,Nacra 17,15,G,11,,131,108,World Championship 2023,Race 11 Gold,0
,,GARGETT/HOFFMAN,,Nacra 17,21,G,24,,224,201,World Championship 2023,Race 11 Gold,0
,,SAOUMA-PEDERSEN/BORRESKOV,,Nacra 17,24,G,13,,156,132,World Championship 2023,Race 11 Gold,1
,,YANG/HU,,Nacra 17,22,G,22,,220,194,World Championship 2023,Race 11 Gold,0
,,TITA/BANTI,,Nacra 17,12,G,1,,43,31,World Championship 2023,Race 11 Gold,1
