,Rk.,Sail Number,Name,Club,Points per Race,Q2,Q3,Q4,Q5,Q6,Q7,Q8,F9,F10,F11,F12,F13,F14,F15,F16,MR,"Q
Net","F
Net","M
Net
(200.0%)",Total Pts.,Net Pts.
0,1,NED 2,"ODILE VAN AANHOLT, ANNETTE DUETZ",Koninklijke Watersport-Vereeniging 'Loosdrecht',1,3,1,3,6,9,8,1,1,13,5,3,2,1,-17,,3.0,32,25,6.0,80,63
1,2,SWE 1,"VILMA BOBECK, REBECCA NETZLER",Royal Swedish Yacht Club/Gothenburg Royal Yacht Club,14,2,3,2,1,5,6,1,8,14,11,1,1,-22,3,,4.0,34,38,8.0,102,80
2,3,ITA 20,"JANA GERMANI, GIORGIA BERTUZZI",MARINA MILITARE,3,2,5,16,12,2,4,2,6,6,22,6,-25,3,1,,7.0,46,44,14.0,129,104
3,4,BRA 12,"MARTINE GRAEL, KAHENA KUNZE",Cbvela - COB - IBV,19,6,4,2,8,13,1,8,9,2,1,"(26)
UFD",7,16,2,,9.0,61,37,18.0,142,116
4,5,AUS 47,"LAURA HARDING, ANNIE WILMOT",BYS,7,-17,4,1,7,2,2,9,4,11,8,11,12,17,5,,10.0,32,68,20.0,137,120
5,6,ESP 23,"TÁMARA ECHEGOYEN, PAULA BARCELÓ",RCN SANXENXO,2,8,-18,6,10,3,3,7,18,5,17,7,8,2,15,,6.0,39,72,12.0,141,123
6,7,GER 33,"INGA-MARIE HOFMANN, CATHERINE BARTELHEIMER",Düsseldorfer Yachtclub e. V.,18,6,10,7,8,12,3,12,7,15,14,2,-21,4,8,,1.0,76,50,2.0,149,128
7,8,CAN 71,"GEORGIA LEWIN-LAFRANCE, ANTONIA LEWIN-LAFRANCE",Royal Nova Scotia Yacht Squadron/Chester Yacht Club,12,7,3,4,18,18,9,4,-24,17,9,9,4,9,7,,2.0,75,55,4.0,158,134
8,9,BEL 4,"ISAURA MAENHAUT, ANOUK GEURTS",,6,18,7,1,24,3,7,5,19,1,-25,4,17,7,9,,5.0,71,57,10.0,163,138
9,10,POL 14,"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",Yacht Klub Polski Gdynia,2,5,6,3,4,-16,12,9,11,16,16,14,9,13,6,,8.0,41,85,16.0,158,142
10,11,USA 7,"STEPHANIE ROBLE, MAGGIE SHEA",Bingham & Taylor/USST/Lake Beulah YC/Chicago YC,5,7,13,15,6,10,10,-21,3,20,2,8,15,10,10,,,66,68,,155,134
11,12,NZL 75,"JO ALEH, MOLLY MEECH",Torbay Sailing Club / RAYC,1,9,15,17,3,4,2,8,-23,10,10,18,6,23,13,,,59,80,,162,139
12,13,GER 55,"MARLA BERGMANN, HANNA WILLE",Mühlenberger Segel-Club e. V.,21,4,17,10,11,12,4,5,2,24,4,"(26)
UFD",10,5,14,,,84,59,,169,143
13,14,GBR 5,"FREYA BLACK, SASKIA TIDEY",WPNSA,9,12,1,5,19,22,12,15,5,4,12,5,14,-24,16,,,95,56,,175,151
14,15,NOR 26,"HELENE NÆSS, MARIE RØNNINGEN",Tønsberg Seilforening,13,3,5,20,9,8,19,15,16,9,13,15,3,8,-24,,,92,64,,180,156
15,16,DEN 10,"JOHANNE SCHMIDT, ANDREA SCHMIDT",Aarhus Sejlklub,19,16,2,11,2,14,5,17,13,23,3,10,11,18,-25,,,86,78,,189,164
16,17,GER 772,"SOPHIE STEINLEIN, JILL PALAND",Norddeutscher Regatta Verein,17,15,12,13,2,6,7,12,10,12,7,20,20,12,-23,,,84,81,,188,165
17,18,POL 525,"GABRIELA CZAPSKA, HANNA RAJCHERT",Klub Sportowy Spójnia Warszawa,10,8,9,8,14,11,13,6,20,25,23,13,5,"(26)
RET",4,,,79,90,,195,169
18,19,CHN 121,"HU XIAOYU, SHAN MENGYUAN",,3,1,2,18,9,1,8,16,-22,19,15,22,19,15,21,,,58,111,,191,169
19,20,FRA 63,"LARA GRANIER, AMÉLIE RIOU",SOCIETE DES REGATES D'ANTIBES - JUAN LES PINS,4,11,14,7,16,16,16,4,21,3,19,12,-23,20,11,,,88,86,,197,174
20,21,GER 22,"MARU SCHEEL, FREYA FEILCKE",Kieler Yacht-Club e. V.,20,20,15,-23,4,4,9,2,15,7,21,17,16,11,20,,,74,107,,204,181
21,22,ITA 225,"SOFIA GIUNCHIGLIA, GIULIA SCHIO",Circolo velico sferracavallo,-22,19,8,10,10,6,10,10,14,22,6,21,13,21,12,,,73,109,,204,182
22,23,ESP 73,"ALICIA FRAS ELENA, BARRIO GARCIA",Real club náutico de Gran Canaria,10,1,23,9,1,20,16,13,12,18,18,19,-24,6,18,,,93,91,,208,184
23,24,MLT 201,"ANTONIA SCHULTHEIS, VICTORIA SCHULTHEIS",Royal Malta Yacht Club,24,5,20,4,3,7,11,14,"(27)
UFD",8,24,23,18,14,19,,,88,106,,221,194
24,25,CHN 310,"WANG YINGQIAN, XIAOYA SU",Zhejiang,9,-23,14,14,7,5,6,16,17,21,20,16,22,19,22,,,71,137,,231,208
25,26,USA 92,"PARIS HENKEN, ANNA TOBIAS",San Diego Yacht Club; ABYC,5,13,19,-21,17,15,5,6,5,6,1,2,3,2,7,1,,80,27,,128,107
26,27,FIN 40,"RONJA GRÖNBLOM, VEERA HOKKA",Helsingfors Segelsällskap,11,10,9,6,-23,9,23,10,4,12,6,1,1,1,4,3,,78,32,,133,110
27,28,NOR 8,"PIA DAHL ANDERSEN, NORA EDLAND",Kongelig Norsk Seilforening,18,4,6,12,14,-25,19,18,2,14,5,3,4,5,1,4,,91,38,,154,129
28,29,AUS 44,"OLIVIA PRICE, EVIE HASELDINE",CYCA / DSC,4,11,18,19,13,17,1,-20,1,16,9,18,2,3,2,2,,83,53,,156,136
29,30,CAN 25,"ALEXANDRA TEN HOVE, MARIAH MILLEN",KYC,6,13,11,16,-22,8,17,20,7,3,4,5,5,6,10,11,,91,51,,164,142
30,31,JPN 586,"MISAKI TANAKA, SERA NAGAMATSU",TOYOTA Industries Corporation,7,14,8,24,5,14,"(27)
DSQ",13,3,2,13,7,12,8,6,16,,85,67,,179,152
31,32,FRA 34,"MATHILDE LOVADINA, AUDE COMPAN",YCPR,22,18,7,5,20,1,14,-24,11,4,11,6,6,7,18,8,,87,71,,182,158
32,33,FRA 84,"SARAH STEYAERT, CHARLINE PICON",La Rochelle nautique,8,14,16,14,5,15,18,3,10,"(27)
BFD",3,12,"27
UFD",9,14,5,,93,80,,200,173
33,34,DEN 207,"REBEKKA JOHANNESEN, SILJE CERUP-SIMONSEN",Sletten Bådeklub,14,-24,22,15,16,21,15,18,8,9,10,10,7,13,9,9,,121,75,,220,196
34,35,FRA 702,"MANON PEYRE CLARA-SOFIA, STAMMINGER DE MOURA",CLUB NAUTIQUE LA PELLE,13,17,13,19,11,7,-20,14,14,18,20,9,8,10,13,12,,94,104,,218,198
35,36,SGP 27,"KIMBERLY LIM, CECILIA LOW",,8,10,11,17,15,13,11,21,16,13,19,-22,10,11,15,14,,106,98,,226,204
36,37,CHN 317,"CHEN SHASHA, WANG MENGTING",,17,22,16,-25,19,22,25,11,9,11,12,4,16,4,12,10,,132,78,,235,210
37,38,AUS 777,"MINA FERGUSON, DERVLA DUGGAN",Royal Sydney Yacht Squadron & Woollahra Sailing Club,11,9,-24,18,12,24,15,19,12,19,14,8,9,12,17,15,,108,106,,238,214
38,39,ARG 16,"MARIA SOL BRANZ CRESPO, JULIA PANTIN",ENARD YCA,16,15,17,13,18,11,14,24,"(27)
UFD",8,8,16,11,22,8,20,,128,93,,248,221
39,40,CRO 29,"MARIJA ANDELA DE MICHELI-VITTURI, MIHAELA ZJENA DE MICHELI-VITTURI",Y.C.USKOK,20,21,25,11,20,18,22,11,6,5,21,19,"(27)
UFD",19,3,7,,148,80,,255,228
40,41,GBR 713,"ELEANOR KEERS, JESSICA JOBSON",WPNSA,21,21,19,-25,21,23,24,22,15,1,17,14,19,15,5,19,,151,105,,281,256
41,42,ESP 411,"NEUS BALLESTER, CARLOTA GARCIA",Club nautico sa rapita,-24,23,21,22,21,10,17,22,13,17,2,20,15,16,22,23,,136,128,,288,264
42,43,EST 305,"HELEN PAIS, HELEN AUSMAN",Tallinna Jahtklubi,16,22,22,22,17,-25,21,23,19,15,18,11,18,17,19,6,,143,123,,291,266
43,44,JPN 808,"SAKI MATSUNAE, ERI HATAYAMA",,"(27)
DNC","27
DNF",25,20,24,19,21,17,21,21,16,13,17,18,11,13,,153,130,,310,283
44,45,DEN 916,"JOSEPHINE P W FREDERIKSEN, LAURA STEENSTRUP ZEEBERG",Hellerup Sejlklub,23,"(27)
UFD",24,23,23,24,22,19,17,7,22,21,13,14,23,17,,158,134,,319,292
45,46,GER 696,"KATHARINA SCHWACHHOFER, ELENA STOLTZE",Württembergischer Yacht-Club e. V.,15,20,12,9,13,20,18,3,"(27)
DNC","27
DNC","27
DNC","27
DNC","27
DNC","27
DNC","27
DNC","27
DNC",,110,189,,326,299
46,47,CZE 138,"ZOFIA BURSKA, SÁRA TKADLECOVÁ",,15,19,10,21,25,21,20,23,"(27)
UFD",22,15,15,"27
UFD",20,"27
DNC","27
DNC",,154,153,,334,307
47,48,ESP 244,"PAULA VAN WIERINGEN MASSANET, CLAUDIA SOBRAL LUSQUIÑOS",CMSAP CAN PASTILLA,12,16,20,24,22,23,23,25,20,"(27)
BFD",7,"27
RET","27
DNC","27
DNC",20,22,,165,150,,342,315
48,49,ITA 67,"MAELLE FRASCARI, SVEVA CARRARO",,"(27)
DNC","27
DNC",23,12,15,17,25,25,"27
UFD",10,24,"27
DNC","27
DNC","27
DNC",16,18,,144,176,,347,320
49,50,JPN 717,"MANASE ICHIHASHI, RINKO GOTO",,"(27)
DNC","27
DNF",26,26,26,26,13,26,18,20,23,17,14,21,21,21,,170,155,,352,325
50,51,DEN 142,"JOSEFINE NØJGAARD , ESTHER BOJSEN-MOLLER",Sletten Bådeklub,23,12,21,8,25,19,24,7,"(27)
DNC","27
DNC","27
DNC","27
DNC","27
DNC","27
DNC","27
DNC","27
DNC",,139,189,,355,328
